"roi","ROI","coeff_distance","p_value_distance"
1,"L_V1_ROI",0.028002511623877,0.0694652673663168
2,"L_MST_ROI",0.0311680982632202,0.0339830084957521
3,"L_V6_ROI",0.0201150848429202,0.394302848575712
4,"L_V2_ROI",0.0390418383769915,0.00399800099950025
5,"L_V3_ROI",0.0406727456913306,0.00249875062468766
6,"L_V4_ROI",0.0425953883163694,0.00199900049975012
7,"L_V8_ROI",0.0295423684002262,0.0444777611194403
8,"L_4_ROI",0.0200942436120415,0.403798100949525
9,"L_3b_ROI",0.0241955551929134,0.170414792603698
10,"L_FEF_ROI",0.0258179162987995,0.103948025987006
11,"L_PEF_ROI",0.0271062405313094,0.0759620189905048
12,"L_55b_ROI",0.0165918700178661,0.75512243878061
13,"L_V3A_ROI",0.0311412707733685,0.0359820089955022
14,"L_RSC_ROI",0.0282046091043072,0.0634682658670665
15,"L_POS2_ROI",0.0403980019689832,0.00249875062468766
16,"L_V7_ROI",0.0136709331678318,0.968515742128936
17,"L_IPS1_ROI",0.0211590189340096,0.321339330334833
18,"L_FFC_ROI",0.020139006577502,0.408795602198901
19,"L_V3B_ROI",0.0327882814245218,0.0179910044977511
20,"L_LO1_ROI",0.0209324774625236,0.336831584207896
21,"L_LO2_ROI",0.0196702228305089,0.447776111944028
22,"L_PIT_ROI",0.0235379048969207,0.198900549725137
23,"L_MT_ROI",0.0246576457461164,0.133433283358321
24,"L_A1_ROI",0.0136794958617302,0.96151924037981
25,"L_PSL_ROI",0.0236842481165317,0.174912543728136
26,"L_SFL_ROI",0.0354056044128987,0.0124937531234383
27,"L_PCV_ROI",0.0226772293891886,0.23888055972014
28,"L_STV_ROI",0.0211951135041688,0.320339830084958
29,"L_7Pm_ROI",0.0183169811127383,0.569215392303848
30,"L_7m_ROI",0.0146557795758409,0.913543228385807
31,"L_POS1_ROI",0.0199463106605143,0.414792603698151
32,"L_23d_ROI",0.0216581702206553,0.285857071464268
33,"L_v23ab_ROI",0.025154912765406,0.115942028985507
34,"L_d23ab_ROI",0.0218213662833783,0.269365317341329
35,"L_31pv_ROI",0.0197471585504675,0.417791104447776
36,"L_5m_ROI",0.0248906421027106,0.143928035982009
37,"L_5mv_ROI",0.0232593043467857,0.217891054472764
38,"L_23c_ROI",0.0400575230098077,0.00249875062468766
39,"L_5L_ROI",0.0209202500948178,0.353823088455772
40,"L_24dd_ROI",0.0340153018989417,0.0154922538730635
41,"L_24dv_ROI",0.0273033388854715,0.0704647676161919
42,"L_7AL_ROI",0.0292734887924971,0.0459770114942529
43,"L_SCEF_ROI",0.0448559052951532,0.000499750124937531
44,"L_6ma_ROI",0.0173039742159945,0.644677661169415
45,"L_7Am_ROI",0.0304272372430233,0.0349825087456272
46,"L_7PL_ROI",0.0168277309532832,0.716141929035482
47,"L_7PC_ROI",0.0150245910475186,0.88055972013993
48,"L_LIPv_ROI",0.0185388010895636,0.547226386806597
49,"L_VIP_ROI",0.0199131714161018,0.40679660169915
50,"L_MIP_ROI",0.0161660379900733,0.784607696151924
51,"L_1_ROI",0.0291752647319048,0.0494752623688156
52,"L_2_ROI",0.0202586448254984,0.395302348825587
53,"L_3a_ROI",0.0163841727882828,0.763618190904548
