"roi","ROI","coeff_distance","p_value_distance"
1,"L_V1_ROI",0.028002511623877,0.0656934306569343
2,"L_MST_ROI",0.0311680982632202,0.02999700029997
3,"L_V6_ROI",0.0201150848429202,0.408859114088591
4,"L_V2_ROI",0.0390418383769915,0.0031996800319968
5,"L_V3_ROI",0.0406727456913306,0.0013998600139986
6,"L_V4_ROI",0.0425953883163694,0.0011998800119988
7,"L_V8_ROI",0.0295423684002262,0.0440955904409559
8,"L_4_ROI",0.0200942436120415,0.392460753924608
9,"L_3b_ROI",0.0241955551929134,0.160883911608839
10,"L_FEF_ROI",0.0258179162987995,0.106089391060894
11,"L_PEF_ROI",0.0271062405313094,0.0787921207879212
12,"L_55b_ROI",0.0165918700178661,0.728227177282272
13,"L_V3A_ROI",0.0311412707733685,0.0310968903109689
14,"L_RSC_ROI",0.0282046091043072,0.0607939206079392
15,"L_POS2_ROI",0.0403980019689832,0.0026997300269973
16,"L_V7_ROI",0.0136709331678318,0.968703129687031
17,"L_IPS1_ROI",0.0211590189340096,0.321967803219678
18,"L_FFC_ROI",0.020139006577502,0.409359064093591
19,"L_V3B_ROI",0.0327882814245218,0.0200979902009799
20,"L_LO1_ROI",0.0209324774625236,0.346665333466653
21,"L_LO2_ROI",0.0196702228305089,0.445355464453555
22,"L_PIT_ROI",0.0235379048969207,0.201379862013799
23,"L_MT_ROI",0.0246576457461164,0.143685631436856
24,"L_A1_ROI",0.0136794958617302,0.957904209579042
25,"L_PSL_ROI",0.0236842481165317,0.18038196180382
26,"L_SFL_ROI",0.0354056044128987,0.0107989201079892
27,"L_PCV_ROI",0.0226772293891886,0.223277672232777
28,"L_STV_ROI",0.0211951135041688,0.314268573142686
29,"L_7Pm_ROI",0.0183169811127383,0.572642735726427
30,"L_7m_ROI",0.0146557795758409,0.912108789121088
31,"L_POS1_ROI",0.0199463106605143,0.406359364063594
32,"L_23d_ROI",0.0216581702206553,0.287771222877712
33,"L_v23ab_ROI",0.025154912765406,0.124787521247875
34,"L_d23ab_ROI",0.0218213662833783,0.28047195280472
35,"L_31pv_ROI",0.0197471585504675,0.415658434156584
36,"L_5m_ROI",0.0248906421027106,0.139386061393861
37,"L_5mv_ROI",0.0232593043467857,0.200579942005799
38,"L_23c_ROI",0.0400575230098077,0.0033996600339966
39,"L_5L_ROI",0.0209202500948178,0.352464753524648
40,"L_24dd_ROI",0.0340153018989417,0.012998700129987
41,"L_24dv_ROI",0.0273033388854715,0.0777922207779222
42,"L_7AL_ROI",0.0292734887924971,0.0474952504749525
43,"L_SCEF_ROI",0.0448559052951532,0.000999900009999
44,"L_6ma_ROI",0.0173039742159945,0.646135386461354
45,"L_7Am_ROI",0.0304272372430233,0.034996500349965
46,"L_7PL_ROI",0.0168277309532832,0.725927407259274
47,"L_7PC_ROI",0.0150245910475186,0.884311568843116
48,"L_LIPv_ROI",0.0185388010895636,0.533146685331467
49,"L_VIP_ROI",0.0199131714161018,0.412858714128587
50,"L_MIP_ROI",0.0161660379900733,0.783921607839216
51,"L_1_ROI",0.0291752647319048,0.0511948805119488
52,"L_2_ROI",0.0202586448254984,0.391460853914609
53,"L_3a_ROI",0.0163841727882828,0.766023397660234
54,"L_6d_ROI",0.0197122418296139,0.435856414358564
55,"L_6mp_ROI",0.0197829451433106,0.431756824317568
56,"L_6v_ROI",0.0197836659574003,0.432656734326567
