"roi","ROI","coeff_distance","p_value_distance"
"roi1","L_V1_ROI",0.0298958253403821,0.0599400599400599
"roi2","L_MST_ROI",0.0331237595032073,0.026973026973027
"roi3","L_V6_ROI",0.0200893628400214,0.523476523476524
"roi4","L_V2_ROI",0.0419987180166503,0.004995004995005
"roi5","L_V3_ROI",0.039847925520326,0.00799200799200799
"roi6","L_V4_ROI",0.0431406257980913,0.000999000999000999
"roi7","L_V8_ROI",0.033298407466368,0.030969030969031
"roi8","L_4_ROI",0.0223910061155495,0.33966033966034
"roi9","L_3b_ROI",0.0265290571741312,0.141858141858142
"roi10","L_FEF_ROI",0.0266563951529255,0.116883116883117
"roi11","L_PEF_ROI",0.0241423075784726,0.222777222777223
"roi12","L_55b_ROI",0.0189397642841022,0.618381618381618
"roi13","L_V3A_ROI",0.0353786438825944,0.00999000999000999
"roi14","L_RSC_ROI",0.028648404609252,0.0769230769230769
"roi15","L_POS2_ROI",0.0350527845508046,0.020979020979021
"roi16","L_V7_ROI",0.0135951419259995,0.99000999000999
"roi17","L_IPS1_ROI",0.0193659776395844,0.623376623376623
"roi18","L_FFC_ROI",0.0219192079029524,0.345654345654346
"roi19","L_V3B_ROI",0.0345207079919314,0.022977022977023
"roi20","L_LO1_ROI",0.0260088906341275,0.153846153846154
"roi21","L_LO2_ROI",0.0228670479417935,0.318681318681319
"roi22","L_PIT_ROI",0.0265423124005121,0.130869130869131
"roi23","L_MT_ROI",0.0276308007381295,0.122877122877123
"roi24","L_A1_ROI",0.0184129602159769,0.667332667332667
"roi25","L_PSL_ROI",0.0262950371201445,0.148851148851149
"roi26","L_SFL_ROI",0.0374454625271849,0.012987012987013
"roi27","L_PCV_ROI",0.0238390941101393,0.214785214785215
"roi28","L_STV_ROI",0.0219600303373268,0.380619380619381
"roi29","L_7Pm_ROI",0.0199104046611819,0.553446553446553
"roi30","L_7m_ROI",0.0160187451081468,0.882117882117882
"roi31","L_POS1_ROI",0.0200216801909718,0.46953046953047
"roi32","L_23d_ROI",0.0261922075897041,0.145854145854146
"roi33","L_v23ab_ROI",0.02467558916385,0.196803196803197
"roi34","L_d23ab_ROI",0.0235302698956352,0.250749250749251
"roi35","L_31pv_ROI",0.0221241290584379,0.327672327672328
"roi36","L_5m_ROI",0.024777851063145,0.202797202797203
"roi37","L_5mv_ROI",0.0219241253589507,0.35964035964036
"roi38","L_23c_ROI",0.0373929416317325,0.00799200799200799
"roi39","L_5L_ROI",0.0233576143685728,0.32967032967033
"roi40","L_24dd_ROI",0.0346080020202255,0.023976023976024
"roi41","L_24dv_ROI",0.0266210434431145,0.141858141858142
"roi42","L_7AL_ROI",0.0321503218712672,0.040959040959041
"roi43","L_SCEF_ROI",0.0464795464236856,0.001998001998002
"roi44","L_6ma_ROI",0.0190040318529759,0.586413586413586
"roi45","L_7Am_ROI",0.0333238060405573,0.020979020979021
"roi46","L_7PL_ROI",0.0206528784415218,0.45954045954046
"roi47","L_7PC_ROI",0.015882919460354,0.891108891108891
"roi48","L_LIPv_ROI",0.0194634082864736,0.577422577422577
"roi49","L_VIP_ROI",0.0236635762280983,0.275724275724276
"roi50","L_MIP_ROI",0.0160981077461721,0.878121878121878
"roi51","L_1_ROI",0.0268018277441459,0.138861138861139
"roi52","L_2_ROI",0.0212185899382086,0.410589410589411
"roi53","L_3a_ROI",0.0176792942601214,0.735264735264735
"roi54","L_6d_ROI",0.0182390174648359,0.686313686313686
"roi55","L_6mp_ROI",0.0200923746504673,0.509490509490509
"roi56","L_6v_ROI",0.0177863447515797,0.743256743256743
"roi57","L_p24pr_ROI",0.0324595068201587,0.036963036963037
"roi58","L_33pr_ROI",0.0213209369825085,0.380619380619381
"roi59","L_a24pr_ROI",0.0361753829776153,0.01998001998002
"roi60","L_p32pr_ROI",0.0354674546581149,0.015984015984016
"roi61","L_a24_ROI",0.0267675289020562,0.137862137862138
"roi62","L_d32_ROI",0.0155676073225987,0.908091908091908
"roi63","L_8BM_ROI",0.0204523279681658,0.462537462537463
"roi64","L_p32_ROI",0.0152722409952689,0.918081918081918
"roi65","L_10r_ROI",0.013438836591741,0.991008991008991
"roi66","L_47m_ROI",0.0211938137422851,0.397602397602398
"roi67","L_8Av_ROI",0.0246101097644305,0.213786213786214
"roi68","L_8Ad_ROI",0.0258137423060761,0.145854145854146
"roi69","L_9m_ROI",0.023202582287711,0.288711288711289
"roi70","L_8BL_ROI",0.0381907694816983,0.00799200799200799
"roi71","L_9p_ROI",0.029015705526981,0.0679320679320679
"roi72","L_10d_ROI",0.0181375549899437,0.623376623376623
"roi73","L_8C_ROI",0.0175670756634967,0.737262737262737
"roi74","L_44_ROI",0.0144638109430255,0.973026973026973
"roi75","L_45_ROI",0.0274172018779095,0.0909090909090909
"roi76","L_47l_ROI",0.0222897203636779,0.348651348651349
"roi77","L_a47r_ROI",0.0253418878367006,0.172827172827173
"roi78","L_6r_ROI",0.0191991138658423,0.592407592407592
"roi79","L_IFJa_ROI",0.0204634038623838,0.514485514485514
"roi80","L_IFJp_ROI",0.0179445901708131,0.705294705294705
"roi81","L_IFSp_ROI",0.0194492933640121,0.583416583416583
"roi82","L_IFSa_ROI",0.0156507538774894,0.912087912087912
"roi83","L_p9.46v_ROI",0.0237104508936809,0.268731268731269
"roi84","L_46_ROI",0.0363066976574485,0.014985014985015
"roi85","L_a9.46v_ROI",0.0218285792110047,0.398601398601399
"roi86","L_9.46d_ROI",0.0206537148043471,0.42957042957043
"roi87","L_9a_ROI",0.0196823628530924,0.566433566433566
"roi88","L_10v_ROI",0.0241853090961919,0.215784215784216
"roi89","L_a10p_ROI",0.0181475105831472,0.679320679320679
"roi90","L_10pp_ROI",0.0337494115594911,0.017982017982018
"roi91","L_11l_ROI",0.0247784871615485,0.187812187812188
"roi92","L_13l_ROI",0.0278777949482193,0.110889110889111
"roi93","L_OFC_ROI",0.0158756833114159,0.883116883116883
"roi94","L_47s_ROI",0.0178727529258638,0.712287712287712
"roi95","L_LIPd_ROI",0.01961019094285,0.552447552447552
"roi96","L_6a_ROI",0.0188298929426188,0.593406593406593
"roi97","L_i6.8_ROI",0.0261728027866785,0.152847152847153
"roi98","L_s6.8_ROI",0.0393641430140328,0.012987012987013
"roi99","L_43_ROI",0.0218625315238903,0.385614385614386
"roi100","L_OP4_ROI",0.0258359403552747,0.15984015984016
"roi101","L_OP1_ROI",0.022090118191257,0.372627372627373
"roi102","L_OP2.3_ROI",0.0321292323304717,0.033966033966034
"roi103","L_52_ROI",0.0214364724586426,0.36963036963037
"roi104","L_RI_ROI",0.0211787854139944,0.446553446553447
"roi105","L_PFcm_ROI",0.0182478768680411,0.686313686313686
"roi106","L_PoI2_ROI",0.0210534982221265,0.427572427572428
"roi107","L_TA2_ROI",0.0268581523135273,0.113886113886114
"roi108","L_FOP4_ROI",0.0414673856075108,0.003996003996004
"roi109","L_MI_ROI",0.0236265976391242,0.280719280719281
"roi110","L_Pir_ROI",0.0273994809345602,0.11988011988012
"roi111","L_AVI_ROI",0.0203860908817136,0.466533466533467
"roi112","L_AAIC_ROI",0.0145187489516182,0.969030969030969
"roi113","L_FOP1_ROI",0.0194164875539307,0.601398601398601
"roi114","L_FOP3_ROI",0.0461221349428929,0.001998001998002
"roi115","L_FOP2_ROI",0.0206407796611212,0.465534465534466
"roi116","L_PFt_ROI",0.0353266726919607,0.011988011988012
"roi117","L_AIP_ROI",0.0254652237318418,0.172827172827173
"roi118","L_EC_ROI",0.0189819538518422,0.631368631368631
"roi119","L_PreS_ROI",0.0267197695005202,0.125874125874126
"roi120","L_H_ROI",0.0220840246563009,0.356643356643357
"roi121","L_ProS_ROI",0.0206085730673367,0.42957042957043
"roi122","L_PeEc_ROI",0.0161908065821542,0.851148851148851
"roi123","L_STGa_ROI",0.0249793174103264,0.183816183816184
"roi124","L_PBelt_ROI",0.0301334899936241,0.0549450549450549
"roi125","L_A5_ROI",0.0240625849788936,0.217782217782218
"roi126","L_PHA1_ROI",0.0277080044998735,0.122877122877123
"roi127","L_PHA3_ROI",0.0181771876979806,0.632367632367632
"roi128","L_STSda_ROI",0.02639519604284,0.120879120879121
"roi129","L_STSdp_ROI",0.0275058055926041,0.124875124875125
