"","roi","ROI","Name","Network","Method","IVs","Coefficient","SE","Statistics","Pvalue","Pvalue_bh","Pvalue_bh_sci","Lower_CI","Upper_CI","Forest_Plot"
"1","roi304","R_PBelt","Right ParaBelt Complex","AUD","MR",256,0.426658599608143,0.144568432548006,"2.951",0.00317791589514197,0.0274109095945539,"2.74e-02",0.143304471814051,0.710012727402235," 0.43 ( 0.14,  0.71)"
"2",NA,NA,NA,NA,"2SLS (1)",814,0.067576643074527,0.0855329070167687,"0.790",0.429518624956461,0.652771243577898,"6.53e-01",-0.10006785467834,0.235221140827394," 0.07 (-0.10,  0.24)"
"3",NA,NA,NA,NA,"2SLS (2)",287,0.367523968766607,0.134171299003933,"2.739",0.00617804919415223,0.0389479892502013,"3.89e-02",0.104548222718898,0.630499714814316," 0.37 ( 0.10,  0.63)"
"4",NA,NA,NA,NA,"2SLS (3)",1342,0.0570160923179821,0.0707199636716611,"0.806",0.420148151356466,0.658546821508169,"6.59e-01",-0.0815950364784737,0.195627221114438," 0.06 (-0.08,  0.20)"
"5",NA,NA,NA,NA,"2SRI (Binary)",256,0.0157010318954325,0.0279045913670801,"0.563",0.573660703013487,0.93290275354275,"9.33e-01",-0.0389919671840445,0.0703940309749095," 0.02 (-0.04,  0.07)"
"6","roi44","L_6ma","Left Area 6m anterior","CON","MR",5,-1.17342498945924,0.307528715053856,"-3.816",0.000137278097580424,0.00369278082491341,"3.69e-03",-1.7761812709648,-0.570668707953682,"-1.17 (-1.78, -0.57)"
"7",NA,NA,NA,NA,"2SLS (1)",20,-0.949581631009051,0.200826366755795,"-4.728",2.31199329490954e-06,0.000207308732110222,"2.07e-04",-1.34320130985041,-0.555961952167693,"-0.95 (-1.34, -0.56)"
"8",NA,NA,NA,NA,"2SLS (2)",5,-1.16888028510361,0.307523282470901,"-3.801",0.000145668596644178,0.00383050805233751,"3.83e-03",-1.77162591874658,-0.566134651460644,"-1.17 (-1.77, -0.57)"
"9",NA,NA,NA,NA,"2SLS (3)",25,-0.869116374253789,0.228718629360462,"-3.800",0.000146263173035595,0.00541457410821102,"5.41e-03",-1.31740488780029,-0.420827860707283,"-0.87 (-1.32, -0.42)"
"10",NA,NA,NA,NA,"2SRI (Binary)",5,0.0127879467376032,0.0257428450517978,"0.497",0.619360195251294,0.93290275354275,"9.33e-01",-0.0376680295639205,0.0632439230391269," 0.01 (-0.04,  0.06)"
"11","roi45","L_7Am","Left Medial Area 7A","CON","MR",3,1.41228474458137,0.482594767972326,"2.926",0.00344239629158684,0.0274109095945539,"2.74e-02",0.466398999355611,2.35817048980713," 1.41 ( 0.47,  2.36)"
"12",NA,NA,NA,NA,"2SLS (1)",8,1.55220842466554,0.365634679628329,"4.245",2.2145825916897e-05,0.000496435597637108,"4.96e-04",0.835564452594015,2.26885239673706," 1.55 ( 0.84,  2.27)"
"13",NA,NA,NA,NA,"2SLS (2)",3,1.40113385030911,0.481409846082145,"2.910",0.00362291705108279,0.0284505544893854,"2.85e-02",0.457570551988106,2.34469714863011," 1.40 ( 0.46,  2.34)"
"14",NA,NA,NA,NA,"2SLS (3)",73,0.849545719110577,0.236684790849663,"3.589",0.000334324773146526,0.00621844078052538,"6.22e-03",0.385643529045237,1.31344790917592," 0.85 ( 0.39,  1.31)"
"15",NA,NA,NA,NA,"2SRI (Binary)",3,0.0437783646649987,0.0330593959400138,"1.324",0.185425457331981,0.737712689411253,"7.38e-01",-0.0210180513774283,0.108574780707426," 0.04 (-0.02,  0.11)"
"16","roi78","L_6r","Left Rostral Area 6","CON","MR",39,-1.0091608671919,0.260519264673428,"-3.874",0.000108435794710603,0.00324102541968358,"3.24e-03",-1.51977862595182,-0.498543108431981,"-1.01 (-1.52, -0.50)"
"17",NA,NA,NA,NA,"2SLS (1)",79,-0.890937125551062,0.209743825412993,"-4.248",2.19013430298455e-05,0.000496435597637108,"4.96e-04",-1.30203502336053,-0.479839227741596,"-0.89 (-1.30, -0.48)"
"18",NA,NA,NA,NA,"2SLS (2)",46,-0.970864713336145,0.24889997703209,"-3.901",9.70659433953508e-05,0.00287962298739541,"2.88e-03",-1.45870866831904,-0.483020758353249,"-0.97 (-1.46, -0.48)"
"19",NA,NA,NA,NA,"2SLS (3)",93,-0.695925813105109,0.22061819308528,"-3.154",0.00161657410398061,0.0162238337491926,"1.62e-02",-1.12833747155226,-0.26351415465796,"-0.70 (-1.13, -0.26)"
"20",NA,NA,NA,NA,"2SRI (Binary)",39,0.00820159061860503,0.0321905328581253,"0.255",0.798890943996256,0.939161648843611,"9.39e-01",-0.0548918537833206,0.0712950350205306," 0.01 (-0.05,  0.07)"
"21","roi169","L_FOP5","Left Area Frontal
Opercular 5","CON","MR",71,0.753803131619817,0.192697544830076,"3.912",9.26742624342853e-05,0.00324102541968358,"3.24e-03",0.376115943752868,1.13149031948677," 0.75 ( 0.38,  1.13)"
"22",NA,NA,NA,NA,"2SLS (1)",238,0.353560611980559,0.118288822249269,"2.989",0.00280997043790202,0.0164322184303401,"1.64e-02",0.121714520371992,0.585406703589126," 0.35 ( 0.12,  0.59)"
"23",NA,NA,NA,NA,"2SLS (2)",80,0.746442000963985,0.188039598686155,"3.970",7.28916666412318e-05,0.0025090366462673,"2.51e-03",0.377884387539121,1.11499961438885," 0.75 ( 0.38,  1.11)"
"24",NA,NA,NA,NA,"2SLS (3)",192,0.270232395614386,0.128477655802786,"2.103",0.0354802738807771,0.131986618836491,"1.32e-01",0.0184161902409254,0.522048600987847," 0.27 ( 0.02,  0.52)"
"25",NA,NA,NA,NA,"2SRI (Binary)",71,-0.0102780435490814,0.024328321257789,"-0.422",0.672680263725344,0.93290275354275,"9.33e-01",-0.0579615532143478,0.037405466116185,"-0.01 (-0.06,  0.04)"
"26","roi191","R_PEF","Right Premotor Eye Field","CON","MR",3,-1.41830273242983,0.406767596433108,"-3.487",0.000492642902392285,0.00765390680993403,"7.65e-03",-2.21556722143872,-0.621038243420938,"-1.42 (-2.22, -0.62)"
"27",NA,NA,NA,NA,"2SLS (1)",10,-0.981636497744842,0.27603016029649,"-3.556",0.000378896396323415,0.00313663783236313,"3.14e-03",-1.52265561192596,-0.440617383563721,"-0.98 (-1.52, -0.44)"
"28",NA,NA,NA,NA,"2SLS (2)",3,-1.43968969420037,0.412954180787784,"-3.486",0.000493463357312985,0.00823466977516044,"8.23e-03",-2.24907988854443,-0.630299499856313,"-1.44 (-2.25, -0.63)"
"29",NA,NA,NA,NA,"2SLS (3)",1,-1.87837111632881,0.682085676983646,"-2.754",0.00590856862520796,0.0378218449855167,"3.78e-02",-3.21525904321676,-0.541483189440864,"-1.88 (-3.22, -0.54)"
"30",NA,NA,NA,NA,"2SRI (Binary)",3,0.00737789153658345,0.0239610139501877,"0.308",0.758149046454079,0.939161648843611,"9.39e-01",-0.0395856958057844,0.0543414788789513," 0.01 (-0.04,  0.05)"
"31","roi217","R_5mv","Right Area 5m ventral","CON","MR",4,1.05511932068499,0.366540553744886,"2.879",0.00400967489886698,0.0291514202106816,"2.92e-02",0.336699835345014,1.77353880602497," 1.06 ( 0.34,  1.77)"
"32",NA,NA,NA,NA,"2SLS (1)",3,1.36833305957216,0.399493239955822,"3.425",0.000618288565764018,0.00415799060476302,"4.16e-03",0.585326309258749,2.15133980988557," 1.37 ( 0.59,  2.15)"
"33",NA,NA,NA,NA,"2SLS (2)",4,1.00764242163086,0.348240287867784,"2.894",0.00382407759094892,0.0289270455003863,"2.89e-02",0.325091457410003,1.69019338585172," 1.01 ( 0.33,  1.69)"
"34",NA,NA,NA,NA,"2SLS (3)",6,1.00187509734883,0.322423779979581,"3.107",0.00189731796952807,0.0165422410468229,"1.65e-02",0.369924488588851,1.63382570610881," 1.00 ( 0.37,  1.63)"
"35",NA,NA,NA,NA,"2SRI (Binary)",4,-0.00424176463612919,0.0279893857396066,"-0.152",0.879542626459683,0.943329513764541,"9.43e-01",-0.0591009606857581,0.0506174314134997," 0.00 (-0.06,  0.05)"
"36","roi360","R_p24","Right Area posterior 24","CON","MR",429,-0.41883755747234,0.100630289536819,"-4.162",3.19988554036681e-05,0.00215192302589668,"2.15e-03",-0.616072924964505,-0.221602189980175,"-0.42 (-0.62, -0.22)"
"37",NA,NA,NA,NA,"2SLS (1)",966,-0.10876143453617,0.0681066853143486,"-1.597",0.110331485063361,0.262647517540213,"2.63e-01",-0.242250537752293,0.0247276686799533,"-0.11 (-0.24,  0.02)"
"38",NA,NA,NA,NA,"2SLS (2)",426,-0.371351804121747,0.0982148613251542,"-3.781",0.000157811193167463,0.00383050805233751,"3.83e-03",-0.563852932319049,-0.178850675924445,"-0.37 (-0.56, -0.18)"
"39",NA,NA,NA,NA,"2SLS (3)",1063,-0.0998571118894719,0.0700426082214165,"-1.426",0.15402137697366,0.370447967031475,"3.70e-01",-0.237140624003448,0.0374264002245045,"-0.10 (-0.24,  0.04)"
"40",NA,NA,NA,NA,"2SRI (Binary)",429,-0.0141416848322337,0.0248861818971721,"-0.568",0.56986217011597,0.93290275354275,"9.33e-01",-0.062918601350691,0.0346352316862236,"-0.01 (-0.06,  0.03)"
"41","roi95","L_LIPd","Left Area Lateral
IntraParietal dorsal","DAN","MR",372,-0.416722969736907,0.143234049862631,"-2.909",0.00363561770907398,0.0276737037452768,"2.77e-02",-0.697461707467664,-0.13598423200615,"-0.42 (-0.70, -0.14)"
"42",NA,NA,NA,NA,"2SLS (1)",451,-0.328864891628858,0.128383509450293,"-2.562",0.0104424771356133,0.0453068766045158,"4.53e-02",-0.580496570151432,-0.0772332131062837,"-0.33 (-0.58, -0.08)"
"43",NA,NA,NA,NA,"2SLS (2)",408,-0.381374170636471,0.137848261475426,"-2.767",0.00568254469296002,0.037005839829764,"3.70e-02",-0.651556763128306,-0.111191578144636,"-0.38 (-0.65, -0.11)"
"44",NA,NA,NA,NA,"2SLS (3)",390,-0.243469709188332,0.142637028119357,"-1.707",0.0878925563919938,0.250224726871084,"2.50e-01",-0.523038284302272,0.0360988659256077,"-0.24 (-0.52,  0.04)"
"45",NA,NA,NA,NA,"2SRI (Binary)",372,0.0599060480897083,0.033253956240747,"1.801",0.0716286254611252,0.57307785477341,"5.73e-01",-0.00527170614215582,0.125083802321572," 0.06 (-0.01,  0.13)"
"46","roi116","L_PFt","Left Area PFt","DAN","MR",3,-1.51527397378952,0.505743140107261,"-2.996",0.00274620845531978,0.024624335816034,"2.46e-02",-2.50653052839975,-0.524017419179289,"-1.52 (-2.51, -0.52)"
"47",NA,NA,NA,NA,"2SLS (1)",3,-1.47001494194379,0.510529223760234,"-2.879",0.00399767563004011,0.0219464233567508,"2.19e-02",-2.47065222051385,-0.469377663373731,"-1.47 (-2.47, -0.47)"
"48",NA,NA,NA,NA,"2SLS (2)",3,-1.41711691652293,0.469626072288952,"-3.018",0.00255975108439335,0.0247626045131829,"2.48e-02",-2.33758401820928,-0.496649814836584,"-1.42 (-2.34, -0.50)"
"49",NA,NA,NA,NA,"2SLS (3)",84,-0.787270113929672,0.251335432109404,"-3.132",0.0017430551976186,0.0162238337491926,"1.62e-02",-1.2798875608641,-0.29465266699524,"-0.79 (-1.28, -0.29)"
"50",NA,NA,NA,NA,"2SRI (Binary)",3,-0.00185762137624033,0.0321240726540199,"-0.058",0.953886862055591,0.986657204999948,"9.87e-01",-0.0648208037781193,0.0611055610256387," 0.00 (-0.06,  0.06)"
"51","roi136","L_TE2p","Left Area TE2 posterior","DAN","MR",19,-0.657672372469364,0.247342223628102,"-2.659",0.0078605218533294,0.0459669647509915,"4.60e-02",-1.14246313078044,-0.172881614158284,"-0.66 (-1.14, -0.17)"
"52",NA,NA,NA,NA,"2SLS (1)",68,-0.747413383122313,0.213307935498081,"-3.504",0.000461617818862206,0.00354786266496953,"3.55e-03",-1.16549693669855,-0.329329829546074,"-0.75 (-1.17, -0.33)"
"53",NA,NA,NA,NA,"2SLS (2)",22,-0.709564246882996,0.246601960667148,"-2.877",0.00402520886959005,0.0290467775183931,"2.90e-02",-1.19290408979061,-0.226224403975386,"-0.71 (-1.19, -0.23)"
"54",NA,NA,NA,NA,"2SLS (3)",14,-0.694496099017085,0.251464341356042,"-2.762",0.00576691730392812,0.0378218449855167,"3.78e-02",-1.18736620807493,-0.201625989959243,"-0.69 (-1.19, -0.20)"
"55",NA,NA,NA,NA,"2SRI (Binary)",19,0.00228057817001482,0.0295550016757006,"0.077",0.938493187172896,0.98653051988318,"9.87e-01",-0.0556472251143584,0.060208381454388," 0.00 (-0.06,  0.06)"
"56","roi137","L_PHT","Left Area PHT","DAN","MR",35,-1.02618945481324,0.307210477600578,"-3.340",0.000842195372976927,0.0113275277665397,"1.13e-02",-1.62832199091037,-0.424056918716107,"-1.03 (-1.63, -0.42)"
"57",NA,NA,NA,NA,"2SLS (1)",65,-1.04701112820335,0.267096504969026,"-3.920",8.94874440880553e-05,0.000983979714794652,"9.84e-04",-1.57052027794264,-0.523501978464059,"-1.05 (-1.57, -0.52)"
"58",NA,NA,NA,NA,"2SLS (2)",45,-0.987230099446799,0.291431169673969,"-3.388",0.000710110541185662,0.0096365289175706,"9.64e-03",-1.55843519200778,-0.41602500688582,"-0.99 (-1.56, -0.42)"
"59",NA,NA,NA,NA,"2SLS (3)",404,-0.240332359345127,0.139227579241397,"-1.726",0.0843693729202629,0.242670670564468,"2.43e-01",-0.513218414658265,0.0325536959680111,"-0.24 (-0.51,  0.03)"
"60",NA,NA,NA,NA,"2SRI (Binary)",35,0.0165791816453677,0.0330211283331643,"0.502",0.615612663938875,0.93290275354275,"9.33e-01",-0.0481422298876343,0.0813005931783697," 0.02 (-0.05,  0.08)"
"61","roi275","R_LIPd","Right Area Lateral
IntraParietal dorsal","DAN","MR",44,-0.691971602838317,0.246731116272805,"-2.805",0.00505587785720451,0.0357902932523161,"3.58e-02",-1.17556459073301,-0.208378614943619,"-0.69 (-1.18, -0.21)"
"62",NA,NA,NA,NA,"2SLS (1)",80,-0.354310921488032,0.196668587138197,"-1.802",0.0716613967354185,0.190860551701263,"1.91e-01",-0.739781352278898,0.0311595093028341,"-0.35 (-0.74,  0.03)"
"63",NA,NA,NA,NA,"2SLS (2)",50,-0.556651434175905,0.231918281786449,"-2.400",0.0164182281906143,0.0742994394388817,"7.43e-02",-1.01121126647734,-0.102091601874465,"-0.56 (-1.01, -0.10)"
"64",NA,NA,NA,NA,"2SLS (3)",144,-0.279776588455011,0.178617810593864,"-1.566",0.117324881285493,0.305921886716379,"3.06e-01",-0.629867497218984,0.0703143203089624,"-0.28 (-0.63,  0.07)"
"65",NA,NA,NA,NA,"2SRI (Binary)",44,0.0139082281038431,0.0310511067410465,"0.448",0.654215201881052,0.93290275354275,"9.33e-01",-0.046951941108608,0.0747683973162942," 0.01 (-0.05,  0.07)"
"66","roi296","R_PFt","Right Area PFt","DAN","MR",25,-1.34077532876844,0.330869339356957,"-4.052",5.14053580534628e-05,0.00275807595735135,"2.76e-03",-1.98927923390808,-0.692271423628804,"-1.34 (-1.99, -0.69)"
"67",NA,NA,NA,NA,"2SLS (1)",58,-1.26386477149753,0.284206393229985,"-4.447",8.85580906027751e-06,0.00036882865215956,"3.69e-04",-1.8209093022283,-0.706820240766759,"-1.26 (-1.82, -0.71)"
"68",NA,NA,NA,NA,"2SLS (2)",25,-1.34230886326837,0.329608091255026,"-4.072",4.71632456888019e-05,0.0022230726840052,"2.22e-03",-1.98834072212822,-0.696277004408519,"-1.34 (-1.99, -0.70)"
"69",NA,NA,NA,NA,"2SLS (3)",123,-0.735960373476191,0.22320382304788,"-3.297",0.00098240808511071,0.0130519931307566,"1.31e-02",-1.17343986665004,-0.298480880302346,"-0.74 (-1.17, -0.30)"
"70",NA,NA,NA,NA,"2SRI (Binary)",25,0.0762590716717572,0.0314326526047596,"2.426",0.0152616452250446,0.353955902190592,"3.54e-01",0.0146510725664284,0.137867070777086," 0.08 ( 0.01,  0.14)"
"71","roi316","R_TE2p","Right Area TE2 posterior","DAN","MR",28,-1.02482443673072,0.255570210730066,"-4.010",6.15184228405505e-05,0.00275807595735135,"2.76e-03",-1.52574204976165,-0.523906823699791,"-1.02 (-1.53, -0.52)"
