"","exposure","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N","roi_num"
"1","adhd","roi1","L_V1_ROI",0.00751269555453413,0.0663274181199763,6380,0.00719610754277369,0.0084802890666341,0.396153236983464,900,6380,1
"2","adhd","roi2","L_MST_ROI",0.00674600847036634,0.0974858404253898,6380,0.00871153587880257,0.00843791384088391,0.301911002108395,900,6380,2
"3","adhd","roi3","L_V6_ROI",0.00313824272732587,0.45772485220892,6380,0.00428459721945346,0.00876029655885848,0.624792898746031,900,6380,3
"4","adhd","roi4","L_V2_ROI",0.0129886582083544,0.000531839734058449,6380,0.0214437540854419,0.00777186427618567,0.00581171034780098,900,6380,4
"5","adhd","roi5","L_V3_ROI",0.0122605652728773,0.000829354768791112,6380,0.0325559809075204,0.0076180552273093,1.95207387536186e-05,900,6380,5
"6","adhd","roi6","L_V4_ROI",0.0128294137489544,0.00105359275912336,6380,0.0294611858747589,0.00812667271623733,0.000290940363416425,900,6380,6
"7","adhd","roi7","L_V8_ROI",0.00547029882216454,0.123469917591786,6380,0.0168128282740436,0.00736692047351182,0.0225100180764564,900,6380,7
"8","adhd","roi8","L_4_ROI",0.00556782116856922,0.222429889723451,6380,-0.00203274943758443,0.00946139039871221,0.829893642315588,900,6380,8
"9","adhd","roi9","L_3b_ROI",0.00462897855704741,0.273866844263554,6380,0.00541843442869335,0.00876924156014577,0.536669356917113,900,6380,9
"10","adhd","roi10","L_FEF_ROI",0.00818077100279775,0.0967593605008351,6380,0.0152765262472234,0.0102117760615104,0.134710614832588,900,6380,10
"11","adhd","roi11","L_PEF_ROI",0.00931160526133961,0.0651740680393324,6380,-0.00721365375857192,0.0104748814106243,0.491061015824727,900,6380,11
"12","adhd","roi12","L_55b_ROI",0.0016933797474186,0.717335266180852,6380,0.00159536926207068,0.00969638478884163,0.869317279312161,900,6380,12
"13","adhd","roi13","L_V3A_ROI",0.00832637413822435,0.0356590806024239,6380,0.0159015226308408,0.00821703257693733,0.0530111433696336,900,6380,13
"14","adhd","roi14","L_RSC_ROI",0.00979977437434893,0.0306559866602959,6380,0.00383713689381424,0.00939791261428835,0.683069570786187,900,6380,14
"15","adhd","roi15","L_POS2_ROI",0.0130530071560913,0.00539209104370938,6380,0.01807404645931,0.00972200834943567,0.0630610754319651,900,6380,15
"16","adhd","roi16","L_V7_ROI",0.00179222766720154,0.64135168394979,6380,6.08714693972731e-05,0.00797592365585686,0.993910921156809,900,6380,16
"17","adhd","roi17","L_IPS1_ROI",0.00752636315901463,0.0627047064187185,6380,0.00128701635505508,0.00838279529611945,0.877984652476409,900,6380,17
"18","adhd","roi18","L_FFC_ROI",0.00486236700958432,0.221825893774672,6380,-0.00306130957794485,0.00825259453523451,0.710686239032573,900,6380,18
"19","adhd","roi19","L_V3B_ROI",0.00807865339822309,0.0303258652374369,6380,0.00489111346975415,0.0077313824349424,0.526997238626388,900,6380,19
"20","adhd","roi20","L_LO1_ROI",0.0039709555551424,0.303256739959747,6380,0.013943903286874,0.00799985897024519,0.081378609983922,900,6380,20
"21","adhd","roi21","L_LO2_ROI",0.00381686492449996,0.336935621404557,6380,0.0089820136392191,0.00824068070804036,0.275771924936442,900,6380,21
"22","adhd","roi22","L_PIT_ROI",0.00639289346838463,0.085396642640558,6380,0.015911541159248,0.00770700448923175,0.0390054305592443,900,6380,22
"23","adhd","roi23","L_MT_ROI",0.0054343491222197,0.222560540498223,6380,0.00645925081493357,0.00923521820556293,0.484318208708833,900,6380,23
"24","adhd","roi24","L_A1_ROI",-0.00355149755402525,0.339382220413811,6380,0.00490806593866739,0.0077087948386685,0.524353608879497,900,6380,24
"25","adhd","roi25","L_PSL_ROI",0.00194148812825464,0.593504248987129,6380,-0.0103397974154541,0.00754677547779639,0.170705614027954,900,6380,25
"26","adhd","roi26","L_SFL_ROI",0.0124661210159539,0.00728192441148805,6380,0.0037549275887264,0.00962925720526128,0.696586654238039,900,6380,26
"27","adhd","roi27","L_PCV_ROI",0.00552506759506628,0.168651743460065,6380,0.0251717858055287,0.00833531942757512,0.00253865077997013,900,6380,27
"28","adhd","roi28","L_STV_ROI",0.000629826041867084,0.849207144298909,6380,-0.0103513342841517,0.00687284421397931,0.132085725822732,900,6380,28
"29","adhd","roi29","L_7Pm_ROI",0.00205094632367889,0.566508230971186,6380,0.012832869179757,0.00742239163277005,0.0838683001703195,900,6380,29
"30","adhd","roi30","L_7m_ROI",0.000826502017889487,0.80715400732264,6380,0.00281497658735314,0.00701910149215734,0.68840033667331,900,6380,30
"31","adhd","roi31","L_POS1_ROI",0.00572305833510512,0.219846715614551,6380,0.00581245019223971,0.00966882863874576,0.547759141966305,900,6380,31
"32","adhd","roi32","L_23d_ROI",0.00562141157953061,0.19966096209437,6380,-0.000808605938409581,0.00908699718683955,0.929096672767111,900,6380,32
"33","adhd","roi33","L_v23ab_ROI",-0.00227895154330494,0.495899503731281,6380,-0.0102878503317141,0.00694059412614125,0.138317325789872,900,6380,33
"34","adhd","roi34","L_d23ab_ROI",0.00560399059576742,0.107952533765281,6380,0.000940930064172658,0.00722713502421394,0.896417003520248,900,6380,34
"35","adhd","roi35","L_31pv_ROI",0.00481900234909399,0.193014793065346,6380,-0.00887104723378103,0.00768196337434225,0.248220137529407,900,6380,35
"36","adhd","roi36","L_5m_ROI",0.0065321414787033,0.112678518024956,6380,0.0239454288125283,0.00854748159195709,0.00510254189462647,900,6380,36
"37","adhd","roi37","L_5mv_ROI",0.00740570490221886,0.0949583161349816,6380,0.0144953742726768,0.0091946223681106,0.114958971048598,900,6380,37
"38","adhd","roi38","L_23c_ROI",0.0144400347510071,0.00211484438016888,6380,0.0264895718529564,0.00974037476607633,0.00655452950914233,900,6380,38
"39","adhd","roi39","L_5L_ROI",0.000515333002494322,0.898761038273952,6380,-0.000306349210349234,0.00839661581385582,0.970896907364611,900,6380,39
"40","adhd","roi40","L_24dd_ROI",0.0115351552976706,0.0094170386933665,6380,0.0118471472414963,0.00920679219604046,0.198216558661529,900,6380,40
"41","adhd","roi41","L_24dv_ROI",0.0115827651046997,0.00973599976452476,6380,0.0167514862742735,0.00928677766953731,0.0713099462729928,900,6380,41
"42","adhd","roi42","L_7AL_ROI",0.00449733809286169,0.269278315512748,6380,0.00086190986745419,0.00843918510775192,0.918655208877877,900,6380,42
"43","adhd","roi43","L_SCEF_ROI",0.0175173682637508,0.00012278749255724,6380,0.0222040489353367,0.00945060561182553,0.0188298075522121,900,6380,43
"44","adhd","roi44","L_6ma_ROI",0.000770498645672386,0.865566864064172,6380,-0.00482766176957959,0.0094358139942485,0.60892651409167,900,6380,44
"45","adhd","roi45","L_7Am_ROI",0.007949858533304,0.0241048143316864,6380,0.00614715413482222,0.00730534470809594,0.400121965441989,900,6380,45
"46","adhd","roi46","L_7PL_ROI",0.00245893745508498,0.5192561173405,6380,-0.00405226609342041,0.00791070131176845,0.608492986445102,900,6380,46
"47","adhd","roi47","L_7PC_ROI",-0.000695070038962233,0.848247039261106,6380,-0.00140223618666492,0.00752976370168149,0.852273630850721,900,6380,47
"48","adhd","roi48","L_LIPv_ROI",0.00171316453145554,0.657099874502465,6380,-0.00511500354668576,0.00800184517397959,0.522697599738286,900,6380,48
"49","adhd","roi49","L_VIP_ROI",0.00188635875936861,0.605676778976186,6380,0.00451925583716334,0.00757472576409816,0.550780293900156,900,6380,49
"50","adhd","roi50","L_MIP_ROI",0.00125010437463743,0.753333410931336,6380,-0.0175683984517327,0.00826091468902661,0.0334842420056582,900,6380,50
"51","adhd","roi51","L_1_ROI",-0.00725018187396651,0.0506968094988921,6380,-0.0155470115243777,0.0076933343008478,0.0433378996424684,900,6380,51
