"","roi","ROI","OLS_Coefficient","OLS_P_Value","OLS_N","IV_Coefficient","IV_StdError","IV_P_Value","Num_snps","IV_N"
"1","roi1","L_V1_ROI",0.0793624476934136,0.0568411147096874,5628,-0.409206359033825,0.179912754099021,0.0229752126898007,130,5628
"2","roi2","L_MST_ROI",0.0734274472520065,0.0793369974861975,5628,0.852517331802737,0.193230184095597,1.04370112004959e-05,55,5628
"3","roi3","L_V6_ROI",0.0151316191081988,0.708482554279471,5628,0.00286298146795748,0.0773116232130884,0.97046103932816,1059,5628
"4","roi5","L_V3_ROI",0.135338528027741,0.00344153577069851,5628,0.162365834531642,0.644726090393589,0.801176328483824,1,5628
"5","roi7","L_V8_ROI",0.0804720654440792,0.0942430549075665,5628,1.14337734433398,0.761180084690531,0.13312452297491,1,5628
"6","roi12","L_55b_ROI",0.0178400516496713,0.62307747791697,5628,0.816195501869805,0.342283967745708,0.0171326999207884,5,5628
"7","roi13","L_V3A_ROI",0.102533850707029,0.0174958989646447,5628,-0.990377548106478,0.70492979565707,0.160097159993557,1,5628
"8","roi14","L_RSC_ROI",0.0709880325915265,0.0583092629765158,5628,-0.133083219480204,0.0909953562296097,0.143652625314542,559,5628
"9","roi15","L_POS2_ROI",0.0747753563966558,0.038924882441916,5628,0.973369417429001,0.537930022272108,0.0704310995913131,1,5628
"10","roi16","L_V7_ROI",0.00281142035593492,0.949521255143716,5628,-1.0979362159673,0.299257980498547,0.000245889033902787,19,5628
"11","roi17","L_IPS1_ROI",0.062029624087591,0.14143141085813,5628,-0.0462831965561731,0.0907964325836996,0.610248841049953,807,5628
"12","roi18","L_FFC_ROI",0.0440165986418734,0.305856991276017,5628,-0.0961562705001617,0.11327222494847,0.395975669020857,520,5628
"13","roi21","L_LO2_ROI",0.0464491280075984,0.279032825121747,5628,-0.723597660207652,0.26709487706229,0.00676622431951333,24,5628
"14","roi24","L_A1_ROI",-0.0564018473671015,0.217290759703037,5628,0.119401266082499,0.117436521600462,0.309325545690183,494,5628
"15","roi26","L_SFL_ROI",0.0959898437678958,0.0089618605167318,5628,-0.801348774423364,0.591505328191886,0.175547963194276,1,5628
"16","roi30","L_7m_ROI",0.00240612886353871,0.961794897470154,5628,0.719623279482166,0.491858799815587,0.14350448723025,2,5628
"17","roi31","L_POS1_ROI",0.0359475935230168,0.32803266760042,5628,-0.417078067104236,0.184627658942872,0.0239201456136811,46,5628
"18","roi32","L_23d_ROI",0.0657051403546072,0.0912132907607336,5628,-0.725864878383703,0.21063120266949,0.000572817739896352,49,5628
"19","roi33","L_v23ab_ROI",-0.0389495557641996,0.445834530829471,5628,-0.433679654904618,0.711583092397033,0.542245878822309,1,5628
"20","roi34","L_d23ab_ROI",0.071966289909165,0.140582405400217,5628,-0.473116483254213,0.194914837529441,0.015242963137258,137,5628
"21","roi35","L_31pv_ROI",0.0566847441448714,0.217172578547087,5628,-0.400474429480501,0.226074494148039,0.0765439483487799,81,5628
"22","roi36","L_5m_ROI",0.0552505527811239,0.181455373191123,5628,0.0935667017400122,0.107011660504304,0.381959678721391,425,5628
"23","roi41","L_24dv_ROI",0.0891808354979552,0.0192917860398939,5628,0.0231377047995422,0.364689205509658,0.949414415743415,3,5628
"24","roi44","L_6ma_ROI",0.0168749499378867,0.652642868286869,5628,-1.17342498945961,0.307528715053878,0.000137278097579902,5,5628
"25","roi45","L_7Am_ROI",0.11235984550559,0.0199748006809833,5628,1.41228474458102,0.482594767972327,0.00344239629159488,3,5628
"26","roi46","L_7PL_ROI",0.0356018235979013,0.427710193843293,5628,-0.13189852130872,0.0978700002349388,0.177812121900968,676,5628
"27","roi48","L_LIPv_ROI",0.0142431404556094,0.7465858139311,5628,-0.358271534289077,0.606287301033011,0.554593108142911,1,5628
"28","roi49","L_VIP_ROI",0.0343207098977274,0.459959321751436,5628,-0.167658253886737,0.682110799807559,0.805851234537795,1,5628
"29","roi50","L_MIP_ROI",0.0129913080015058,0.762278281092189,5628,-0.076799095198492,0.0651448098681762,0.238488664085627,1877,5628
"30","roi51","L_1_ROI",-0.0808997169668547,0.078656766132633,5628,-1.16275008345484,0.419695705292327,0.00561611898549342,5,5628
"31","roi52","L_2_ROI",0.0116811109503395,0.782391135365743,5628,-1.0389316059468,0.319625727500948,0.00115896283482411,12,5628
"32","roi54","L_6d_ROI",-0.00787867327931788,0.852450696690196,5628,-0.460257499621747,0.62495996620786,0.461482055315546,1,5628
"33","roi55","L_6mp_ROI",0.0286184076889121,0.469646512548513,5628,-0.759716684176656,0.272081228557555,0.0052521133194216,16,5628
"34","roi57","L_p24pr_ROI",0.105166137099544,0.0121143466304314,5628,0.0791006906345618,0.463888212354966,0.864609936352827,2,5628
"35","roi58","L_33pr_ROI",0.0205567858491016,0.456754575964632,5628,0.283524178817981,0.159494356163519,0.0755164312048342,10,5628
"36","roi61","L_a24_ROI",0.0831987053516967,0.0342796323199762,5628,0.0520583541277478,0.0602080941123756,0.387273075146539,1791,5628
"37","roi62","L_d32_ROI",0.00140389633763108,0.968616315664454,5628,-0.00671810316950279,0.0493510093388396,0.891724185745296,2382,5628
"38","roi63","L_8BM_ROI",0.0233848959472419,0.493221238076707,5628,0.00159265149555497,0.0579915084295699,0.978091003664662,1369,5628
"39","roi64","L_p32_ROI",-0.014241506318332,0.673926662153788,5628,-0.0402253649836998,0.0437350035722058,0.357741765573901,2831,5628
"40","roi65","L_10r_ROI",0.0158570998430327,0.668427554946787,5628,-0.0280079827721669,0.0467297208991079,0.548956197156265,3049,5628
"41","roi66","L_47m_ROI",0.0136707814377549,0.741882255696909,5628,-0.0484765358721406,0.128817810145012,0.706694275773554,279,5628
"42","roi68","L_8Ad_ROI",0.0461102742245622,0.217207360534258,5628,-1.15201117705725,0.309282007606664,0.000197392892459789,8,5628
"43","roi69","L_9m_ROI",0.0625134486945166,0.0590550524731497,5628,0.028745632365382,0.039216516148103,0.463590162159711,3833,5628
"44","roi70","L_8BL_ROI",0.0894067617942239,0.0169909115252262,5628,0.0199322658627504,0.0477256651249844,0.676224482404518,3158,5628
"45","roi71","L_9p_ROI",0.0626696795497534,0.0619732550623445,5628,0.000694244064742463,0.0422985040598032,0.986905515653019,3208,5628
"46","roi72","L_10d_ROI",-0.00088775859266775,0.971594846656262,5628,-0.00760972400553546,0.0290083635077008,0.793077716031518,3941,5628
"47","roi73","L_8C_ROI",0.0125794130708865,0.755471011743413,5628,0.00762654033348594,0.458450191589479,0.986728007914193,2,5628
"48","roi74","L_44_ROI",0.0193104433403727,0.608588522492082,5628,-0.585002990252251,0.229002778299767,0.0106581308223628,13,5628
"49","roi75","L_45_ROI",0.0869660562800623,0.0379879631978343,5628,0.0586595037278013,0.0514485079676806,0.254268473232322,3476,5628
"50","roi76","L_47l_ROI",0.0210632399131702,0.650958364734416,5628,0.0167432892370381,0.0557853443922262,0.764083169803719,3784,5628
"51","roi77","L_a47r_ROI",-0.0166677270179807,0.635754972709558,5628,-0.0449980093229294,0.0421113091600745,0.285318721493158,3557,5628
"52","roi78","L_6r_ROI",0.0435067009869298,0.353419335063676,5628,-1.00916086719231,0.260519264673439,0.000108435794709978,39,5628
"53","roi79","L_IFJa_ROI",-0.0189901247549849,0.602257092549045,5628,0.270283978066288,0.371369141853587,0.466763854851519,2,5628
"54","roi81","L_IFSp_ROI",0.0304915280156797,0.416964096558126,5628,-0.113988887912774,0.115442769439165,0.323486147101269,291,5628
"55","roi82","L_IFSa_ROI",0.000116090436766665,0.997397031650833,5628,-0.215213994519036,0.147503235365335,0.144608374618677,116,5628
"56","roi83","L_p9-46v_ROI",0.0429984726317403,0.258706204567062,5628,-1.09242585427669,0.514011650429714,0.0336056080097656,2,5628
"57","roi84","L_46_ROI",0.0563091391763409,0.0912590878288871,5628,-0.169655811231121,0.3527832495941,0.630601572814436,2,5628
"58","roi85","L_a9-46v_ROI",-0.027014540888845,0.414686269888098,5628,-0.0271735446874624,0.0403694036019624,0.500897192976405,3569,5628
"59","roi86","L_9-46d_ROI",-0.0238801919605846,0.450824559590524,5628,-0.0483025520203118,0.0491168951919543,0.325442970029957,1860,5628
"60","roi87","L_9a_ROI",0.0136895788156536,0.648792140488842,5628,-0.0122175321132454,0.0352715129407096,0.729066174461265,3808,5628
"61","roi88","L_10v_ROI",-0.0566874453037931,0.128177665097009,5628,-0.107200421902447,0.0453392493223903,0.0180927947437319,3557,5628
"62","roi89","L_a10p_ROI",0.0252089131304802,0.396403646748449,5628,-0.0159170765820409,0.035083863172216,0.650071978307374,3761,5628
"63","roi90","L_10pp_ROI",-0.0436756264959903,0.101547133478051,5628,-0.0679935777333464,0.0332542952477942,0.0409353424227522,3290,5628
"64","roi91","L_11l_ROI",0.0423641717285852,0.165528699915335,5628,-0.54482669387195,0.20841464061473,0.00896890381894858,10,5628
"65","roi92","L_13l_ROI",0.0253723747044225,0.466983394520765,5628,0.0177596375257458,0.0529750989702009,0.737452789315361,1971,5628
"66","roi93","L_OFC_ROI",-0.0141739854582843,0.673718138531626,5628,-0.0655909532133652,0.0778439559925625,0.399490677039375,734,5628
"67","roi94","L_47s_ROI",-0.00679567116630337,0.880659818053887,5628,-0.0295885777048331,0.0568940360973838,0.603038998363096,3224,5628
"68","roi95","L_LIPd_ROI",0.0572962082176626,0.235018507963814,5628,-0.416722969737013,0.143234049862638,0.00363561770906706,372,5628
"69","roi96","L_6a_ROI",-0.0227629626080667,0.557331517826339,5628,1.10423778353504,0.627636133460791,0.0785708402843388,1,5628
"70","roi97","L_i6-8_ROI",0.0530173112520337,0.203265014029252,5628,0.734640751811507,0.332129408311568,0.0270128938999648,4,5628
"71","roi103","L_52_ROI",0.00741755588846886,0.855415281304738,5628,0.190749233727039,0.12643954849996,0.131452148219392,221,5628
